,date,dateTime,open,high,low,close,volume
0,2022-09-22 22:55:00,1663880100000,19252.5,19307,19245,19245,0.076
1,2022-09-22 23:00:00,1663880400000,19245,19307,19209,19275,4.181
2,2022-09-22 23:05:00,1663880700000,19275,19307,19209,19272,0.312
3,2022-09-22 23:10:00,1663881000000,19272,19272,19267,19272,0.183
4,2022-09-22 23:15:00,1663881300000,19272,19272,19209,19272,82.194
5,2022-09-22 23:20:00,1663881600000,19272,19272,19183,19183,18.305
6,2022-09-22 23:25:00,1663881900000,19183,19260,19171.5,19186,1.953
7,2022-09-22 23:30:00,1663882200000,19186,19272,19132,19214.5,30.476
8,2022-09-22 23:35:00,1663882500000,19214.5,19272,19177,19260,5.103
9,2022-09-22 23:40:00,1663882800000,19260,19260,19050,19207,17.592
10,2022-09-22 23:45:00,1663883100000,19207,19272,19106.5,19197,4.859
11,2022-09-22 23:50:00,1663883400000,19197,19222.5,19165.5,19222.5,2.625
12,2022-09-22 23:55:00,1663883700000,19222.5,19234.5,19088.5,19192.5,1.615
13,2022-09-23 00:00:00,1663884000000,19192.5,19209,19108.5,19209,3.231
14,2022-09-23 00:05:00,1663884300000,19209,19233,19183.5,19233,26.888
15,2022-09-23 00:10:00,1663884600000,19233,19272,18524.5,19232.5,778.947
16,2022-09-23 00:15:00,1663884900000,19232.5,19338,19157.5,19338,56.589
17,2022-09-23 00:20:00,1663885200000,19338,19380,18644,19380,56.323
18,2022-09-23 00:25:00,1663885500000,19380,19390,19303,19390,12.972
19,2022-09-23 00:30:00,1663885800000,19390,19427,18720,19400,20.942
20,2022-09-23 00:35:00,1663886100000,19400,19430,19260,19430,113.015
21,2022-09-23 00:40:00,1663886400000,19430,19500,18785,19400,9.272
22,2022-09-23 00:45:00,1663886700000,19400,19446,19078,19427,16.667
23,2022-09-23 00:50:00,1663887000000,19427,19468,19311.5,19420,1.96
24,2022-09-23 00:55:00,1663887300000,19420,19440.5,18989.5,19389,11.266
25,2022-09-23 01:00:00,1663887600000,19389,19500,18785,19413,65.257
26,2022-09-23 01:05:00,1663887900000,19413,19540,18785,19337,142.427
27,2022-09-23 01:10:00,1663888200000,19337,19518.5,19191.5,19414.5,76.991
28,2022-09-23 01:15:00,1663888500000,19414.5,19544.5,19363,19432,6.226
29,2022-09-23 01:20:00,1663888800000,19432,19480.5,19355.5,19432,3.032
30,2022-09-23 01:25:00,1663889100000,19432,19496,19337,19492.5,18.8
31,2022-09-23 01:30:00,1663889400000,19492.5,19494.5,19363,19466.5,14.972
32,2022-09-23 01:35:00,1663889700000,19466.5,19500,19337,19466.5,3.182
33,2022-09-23 01:40:00,1663890000000,19466.5,19492.5,19419.5,19420.5,1.464
34,2022-09-23 01:45:00,1663890300000,19420.5,19466.5,19311.5,19427,2.24
35,2022-09-23 01:50:00,1663890600000,19427,19492.5,19373,19466.5,0.547
36,2022-09-23 01:55:00,1663890900000,19466.5,19466.5,19077.5,19410,3.248
37,2022-09-23 02:00:00,1663891200000,19410,19466.5,19311.5,19466.5,16.734
38,2022-09-23 02:05:00,1663891500000,19466.5,19466.5,19337,19438,0.865
39,2022-09-23 02:10:00,1663891800000,19438,19440.5,19364,19435,0.301
40,2022-09-23 02:15:00,1663892100000,19435,19440.5,19364,19440.5,0.407
41,2022-09-23 02:20:00,1663892400000,19440.5,19440.5,19337,19440.5,1.082
42,2022-09-23 02:25:00,1663892700000,19440.5,19477,18839,19384.5,70.201
43,2022-09-23 02:30:00,1663893000000,19384.5,19485.5,18760.5,19423,100.235
44,2022-09-23 02:35:00,1663893300000,19423,19423,19328.5,19361.5,0.706
45,2022-09-23 02:40:00,1663893600000,19361.5,19361.5,19323,19361.5,0.158
46,2022-09-23 02:45:00,1663893900000,19361.5,19397,19311.5,19318,0.684
47,2022-09-23 02:50:00,1663894200000,19318,19435.5,19318,19353.5,7.864
48,2022-09-23 02:55:00,1663894500000,19353.5,19353.5,19319,19353.5,0.117
49,2022-09-23 03:00:00,1663894800000,19353.5,19353.5,18616.5,19337,43.43
50,2022-09-23 03:05:00,1663895100000,19337,19445.5,19261,19330,17.162
51,2022-09-23 03:10:00,1663895400000,19330,19330,19260,19320,0.794
52,2022-09-23 03:15:00,1663895700000,19320,19412,18555,19311.5,39.896
53,2022-09-23 03:20:00,1663896000000,19311.5,19464.5,18859,19065,19.383
54,2022-09-23 03:25:00,1663896300000,19065,19456,18560,19324.5,90.829
55,2022-09-23 03:30:00,1663896600000,19324.5,19324.5,19193,19285.5,1.127
56,2022-09-23 03:35:00,1663896900000,19285.5,19335,19253,19335,0.932
57,2022-09-23 03:40:00,1663897200000,19335,19335,19236.5,19303.5,66.306
58,2022-09-23 03:45:00,1663897500000,19303.5,19347,19303.5,19347,10.451
59,2022-09-23 03:50:00,1663897800000,19347,19355,19299.5,19331.5,66.745
60,2022-09-23 03:55:00,1663898100000,19331.5,19363,19266,19363,20.831
61,2022-09-23 04:00:00,1663898400000,19363,19363,19266,19357,1.309
62,2022-09-23 04:05:00,1663898700000,19357,19363,19357,19363,0.05
63,2022-09-23 04:10:00,1663899000000,19363,19632,18816,18816,380.74
64,2022-09-23 04:15:00,1663899300000,18816,19350,18816,19311.5,76.57
65,2022-09-23 04:20:00,1663899600000,19311.5,19311.5,19186,19299,201.389
66,2022-09-23 04:25:00,1663899900000,19299,19311.5,19209,19311.5,0.573
67,2022-09-23 04:30:00,1663900200000,19311.5,19311.5,18838,19260,4.105
68,2022-09-23 04:35:00,1663900500000,19260,19285.5,19260,19285.5,0.408
69,2022-09-23 04:40:00,1663900800000,19285.5,19311.5,19275.5,19311.5,0.675
70,2022-09-23 04:45:00,1663901100000,19311.5,19363,19157.5,19363,5.241
71,2022-09-23 04:50:00,1663901400000,19363,19382,19278.5,19315.5,0.677
72,2022-09-23 04:55:00,1663901700000,19315.5,19412,18900,19311.5,2996.118
73,2022-09-23 05:00:00,1663902000000,19311.5,19429,19045,19367.5,1173.273
74,2022-09-23 05:05:00,1663902300000,19367.5,19389,19367.5,19367.5,1408.657
75,2022-09-23 05:10:00,1663902600000,19367.5,19518.5,19367.5,19492.5,3706.354
76,2022-09-23 05:15:00,1663902900000,19492.5,19504,19363,19460,8.868
77,2022-09-23 05:20:00,1663903200000,19460,19500.5,19400,19447,45.639
78,2022-09-23 05:25:00,1663903500000,19447,19447,19400,19432.5,57.511
79,2022-09-23 05:30:00,1663903800000,19432.5,19576.5,19014,19414.5,537.31
80,2022-09-23 05:35:00,1663904100000,19414.5,19540.5,18909.5,19118,34.702
81,2022-09-23 05:40:00,1663904400000,19118,19512.5,18909.5,19414.5,15.915
82,2022-09-23 05:45:00,1663904700000,19414.5,19424.5,19311.5,19424.5,1.454
83,2022-09-23 05:50:00,1663905000000,19424.5,19511,19285.5,19433.5,17.341
84,2022-09-23 05:55:00,1663905300000,19433.5,19466.5,19040.5,19414,5.713
85,2022-09-23 06:00:00,1663905600000,19414,19440.5,19325.5,19375.5,3.596
86,2022-09-23 06:05:00,1663905900000,19375.5,19399.5,19311.5,19354,1.111
87,2022-09-23 06:10:00,1663906200000,19354,19388.5,19088,19388.5,54.511
88,2022-09-23 06:15:00,1663906500000,19388.5,19389,19088,19346.5,3.893
89,2022-09-23 06:20:00,1663906800000,19346.5,19399.5,19114.5,19399.5,3.236
90,2022-09-23 06:25:00,1663907100000,19399.5,19531.5,18924,19440,484.979
91,2022-09-23 06:30:00,1663907400000,19440,19466.5,19337.5,19466,11.155
92,2022-09-23 06:35:00,1663907700000,19466,19466.5,19398.5,19442.5,0.624
93,2022-09-23 06:40:00,1663908000000,19442.5,19547.5,19397,19475,15.212
94,2022-09-23 06:45:00,1663908300000,19475,19522.5,19389,19466.5,4.923
95,2022-09-23 06:50:00,1663908600000,19466.5,19499.5,19389,19492.5,1.047
96,2022-09-23 06:55:00,1663908900000,19492.5,19500,19415,19491.5,6.655
97,2022-09-23 07:00:00,1663909200000,19491.5,19491.5,19415,19445.5,0.29
98,2022-09-23 07:05:00,1663909500000,19445.5,19500,19431.5,19499.5,3.585
99,2022-09-23 07:10:00,1663909800000,19499.5,19499.5,18948.5,19278.5,9.594
