,date,dateTime,open,high,low,close,volume
0,2022-09-22 22:55:00,1663880100000,1325.5,1330.2,1323.6,1324.35,72.3
1,2022-09-22 23:00:00,1663880400000,1324.35,1337.8,1324.35,1327.1,452.99
2,2022-09-22 23:05:00,1663880700000,1327.1,1332.95,1326.95,1327.65,122.94
3,2022-09-22 23:10:00,1663881000000,1327.65,1330.25,1314.5,1328.45,387.52
4,2022-09-22 23:15:00,1663881300000,1328.45,1328.45,1316.95,1319.5,31.13
5,2022-09-22 23:20:00,1663881600000,1319.5,1331.15,1316.55,1318.75,372.43
6,2022-09-22 23:25:00,1663881900000,1318.75,1320.2,1317.9,1318.15,135.27
7,2022-09-22 23:30:00,1663882200000,1318.15,1321.3,1314.5,1319.35,88.46
8,2022-09-22 23:35:00,1663882500000,1319.35,1327.5,1318.45,1325.3,146.65
9,2022-09-22 23:40:00,1663882800000,1325.3,1325.35,1325.3,1325.3,0.58
10,2022-09-22 23:45:00,1663883100000,1325.3,1325.3,1317.9,1317.9,3.75
11,2022-09-22 23:50:00,1663883400000,1317.9,1317.95,1317.9,1317.95,12.62
12,2022-09-22 23:55:00,1663883700000,1317.95,1317.95,1317.95,1317.95,0
13,2022-09-23 00:00:00,1663884000000,1317.95,1322.25,1299,1308.8,3070.05
14,2022-09-23 00:05:00,1663884300000,1308.8,1313.45,1307.5,1312.15,13366.72
15,2022-09-23 00:10:00,1663884600000,1312.15,1318.4,1311.75,1318.4,437.16
16,2022-09-23 00:15:00,1663884900000,1318.4,1323.1,1316.5,1320.45,315.05
17,2022-09-23 00:20:00,1663885200000,1320.45,1328.45,1319.6,1326,80.11
18,2022-09-23 00:25:00,1663885500000,1326,1332,1324,1326.9,192.21
19,2022-09-23 00:30:00,1663885800000,1326.9,1333,1326.9,1333,98.13
20,2022-09-23 00:35:00,1663886100000,1333,1349.15,1332.9,1347.9,25604.82
21,2022-09-23 00:40:00,1663886400000,1347.9,1349.5,1335.55,1335.55,3010.66
22,2022-09-23 00:45:00,1663886700000,1335.55,1335.55,1332,1332,40.84
23,2022-09-23 00:50:00,1663887000000,1332,1332,1332,1332,1.66
24,2022-09-23 00:55:00,1663887300000,1332,1332,1332,1332,2.58
25,2022-09-23 01:00:00,1663887600000,1332,1332.05,1332,1332,4.17
26,2022-09-23 01:05:00,1663887900000,1332,1355.3,1332,1346.25,476.92
27,2022-09-23 01:10:00,1663888200000,1346.25,1349.9,1339.15,1339.15,80.14
28,2022-09-23 01:15:00,1663888500000,1339.15,1339.2,1337.35,1337.35,10.41
29,2022-09-23 01:20:00,1663888800000,1337.35,1337.35,1337.35,1337.35,4.72
30,2022-09-23 01:25:00,1663889100000,1337.35,1337.35,1337.35,1337.35,0.57
31,2022-09-23 01:30:00,1663889400000,1337.35,1337.4,1337.35,1337.35,0.42
32,2022-09-23 01:35:00,1663889700000,1337.35,1337.4,1329.6,1330.95,88.3
33,2022-09-23 01:40:00,1663890000000,1330.95,1336.75,1330.6,1331.75,86.38
34,2022-09-23 01:45:00,1663890300000,1331.75,1333.5,1330.5,1330.5,24.11
35,2022-09-23 01:50:00,1663890600000,1330.5,1331.2,1330.5,1331.2,14.36
36,2022-09-23 01:55:00,1663890900000,1331.2,1331.2,1326.7,1330.25,23.87
37,2022-09-23 02:00:00,1663891200000,1330.25,1334.25,1326.15,1328.45,131.4
38,2022-09-23 02:05:00,1663891500000,1328.45,1340.85,1328.45,1333.8,195.19
39,2022-09-23 02:10:00,1663891800000,1333.8,1337.35,1330.35,1330.8,113.35
40,2022-09-23 02:15:00,1663892100000,1330.8,1339.15,1330.8,1336.75,218.47
41,2022-09-23 02:20:00,1663892400000,1336.75,1340.9,1335.5,1338.3,214.99
42,2022-09-23 02:25:00,1663892700000,1338.3,1340.65,1332.95,1333,19.47
43,2022-09-23 02:30:00,1663893000000,1333,1335.7,1332.05,1333,127.98
44,2022-09-23 02:35:00,1663893300000,1333,1333,1331.3,1331.3,5.98
45,2022-09-23 02:40:00,1663893600000,1331.3,1331.3,1330.5,1330.75,9.24
46,2022-09-23 02:45:00,1663893900000,1330.75,1330.95,1328.8,1328.9,135.88
47,2022-09-23 02:50:00,1663894200000,1328.9,1337.5,1328.5,1337.5,227.88
48,2022-09-23 02:55:00,1663894500000,1337.5,1337.5,1330.25,1330.25,2.68
49,2022-09-23 03:00:00,1663894800000,1330.25,1330.25,1323,1325.8,32.94
50,2022-09-23 03:05:00,1663895100000,1325.8,1329.55,1325.8,1329.55,0.22
51,2022-09-23 03:10:00,1663895400000,1329.55,1329.6,1328.1,1328.1,0.97
52,2022-09-23 03:15:00,1663895700000,1328.1,1336.35,1315.9,1329.15,653.16
53,2022-09-23 03:20:00,1663896000000,1329.15,1341.15,1328.15,1333.8,282.18
54,2022-09-23 03:25:00,1663896300000,1333.8,1333.8,1330,1330.05,13.22
55,2022-09-23 03:30:00,1663896600000,1330.05,1330.05,1316.25,1322.3,168.29
56,2022-09-23 03:35:00,1663896900000,1322.3,1329.15,1321.2,1324,225.51
57,2022-09-23 03:40:00,1663897200000,1324,1327.1,1323.65,1326.95,160.09
58,2022-09-23 03:45:00,1663897500000,1326.95,1332,1324.9,1328.95,158.69
59,2022-09-23 03:50:00,1663897800000,1328.95,1333.8,1327.4,1330.65,246.18
60,2022-09-23 03:55:00,1663898100000,1330.65,1334.75,1330.65,1332.75,167.62
61,2022-09-23 04:00:00,1663898400000,1332.75,1335.55,1332.2,1332.2,93.96
62,2022-09-23 04:05:00,1663898700000,1332.2,1334.25,1329.5,1329.8,170.68
63,2022-09-23 04:10:00,1663899000000,1329.8,1331.8,1327.3,1329.2,471.66
64,2022-09-23 04:15:00,1663899300000,1329.2,1330.3,1326.7,1327.9,139.3
65,2022-09-23 04:20:00,1663899600000,1327.9,1327.9,1324.95,1325.4,146.87
66,2022-09-23 04:25:00,1663899900000,1325.4,1329.6,1324.95,1325.15,135.12
67,2022-09-23 04:30:00,1663900200000,1325.15,1330.95,1324.95,1325.55,78.62
68,2022-09-23 04:35:00,1663900500000,1325.55,1326.1,1325.2,1326.1,30.32
69,2022-09-23 04:40:00,1663900800000,1326.1,1327.4,1324.95,1326.85,14.35
70,2022-09-23 04:45:00,1663901100000,1326.85,1331.15,1326.25,1327.75,109.12
71,2022-09-23 04:50:00,1663901400000,1327.75,1329.15,1325.85,1325.85,82.42
72,2022-09-23 04:55:00,1663901700000,1325.85,1327.85,1325.1,1325.85,92.35
73,2022-09-23 05:00:00,1663902000000,1325.85,1334.75,1325.85,1333.4,182.34
74,2022-09-23 05:05:00,1663902300000,1333.4,1333.4,1333.25,1333.25,1.07
75,2022-09-23 05:10:00,1663902600000,1333.25,1337.35,1332.75,1336.4,128.76
76,2022-09-23 05:15:00,1663902900000,1336.4,1344.5,1335.95,1341.3,103.33
77,2022-09-23 05:20:00,1663903200000,1341.3,1343.75,1339.45,1341.7,110.35
78,2022-09-23 05:25:00,1663903500000,1341.7,1345.45,1339.65,1343.5,58.93
79,2022-09-23 05:30:00,1663903800000,1343.5,1346.3,1343.5,1345.35,34.9
80,2022-09-23 05:35:00,1663904100000,1345.35,1349.15,1340.4,1344.25,183.78
81,2022-09-23 05:40:00,1663904400000,1344.25,1344.95,1340.95,1344.65,52.5
82,2022-09-23 05:45:00,1663904700000,1344.65,1344.7,1341.45,1344.3,87.89
83,2022-09-23 05:50:00,1663905000000,1344.3,1344.45,1344.3,1344.45,3.67
84,2022-09-23 05:55:00,1663905300000,1344.45,1344.45,1340,1340,7.29
85,2022-09-23 06:00:00,1663905600000,1340,1344.9,1339.2,1339.2,2.37
86,2022-09-23 06:05:00,1663905900000,1339.2,1339.2,1337.35,1337.35,8.95
87,2022-09-23 06:10:00,1663906200000,1337.35,1337.35,1337.35,1337.35,0
