,date,dateTime,open,high,low,close,volume
0,2022-09-21 14:00:00,1663761600000,19160.60,19504.00,19016.70,19158.10,1263.349
1,2022-09-21 14:15:00,1663762500000,19155.60,19548.80,19138.20,19171.90,1341.246
2,2022-09-21 14:30:00,1663763400000,19177.90,19448.80,19169.70,19250.00,1459.230
3,2022-09-21 14:45:00,1663764300000,19241.00,19519.90,19214.20,19239.20,2726.017
4,2022-09-21 15:00:00,1663765200000,19237.50,19548.80,19235.10,19284.50,2519.799
5,2022-09-21 15:15:00,1663766100000,19284.10,19548.80,19149.70,19285.00,2262.750
6,2022-09-21 15:30:00,1663767000000,19285.00,19548.80,19234.70,19272.10,3602.179
7,2022-09-21 15:45:00,1663767900000,19252.80,19343.30,19252.80,19274.60,3189.692
8,2022-09-21 16:00:00,1663768800000,19271.00,19326.70,19265.30,19320.00,3163.619
9,2022-09-21 16:15:00,1663769700000,19316.70,19500.00,19279.20,19452.00,2637.955
10,2022-09-21 16:30:00,1663770600000,19448.10,19483.60,19240.60,19325.00,3022.799
11,2022-09-21 16:45:00,1663771500000,19317.70,19353.50,19201.90,19243.70,2578.414
12,2022-09-21 17:00:00,1663772400000,19250.00,19274.70,19084.50,19167.00,3565.702
13,2022-09-21 17:15:00,1663773300000,19165.10,19180.00,19079.40,19180.00,2111.501
14,2022-09-21 17:30:00,1663774200000,19169.70,19301.90,19152.70,19301.50,1626.348
15,2022-09-21 17:45:00,1663775100000,19301.50,19310.40,19152.70,19192.00,2539.038
16,2022-09-21 18:00:00,1663776000000,19193.10,19309.30,19102.80,19245.10,2181.102
17,2022-09-21 18:15:00,1663776900000,19250.30,19276.80,19100.00,19260.60,1933.142
18,2022-09-21 18:30:00,1663777800000,19260.60,19350.00,19246.80,19309.20,1807.431
19,2022-09-21 18:45:00,1663778700000,19309.20,19309.20,19188.80,19240.00,3023.355
20,2022-09-21 19:00:00,1663779600000,19234.00,19304.30,19188.80,19280.50,1160.973
21,2022-09-21 19:15:00,1663780500000,19270.30,19300.00,19132.70,19289.10,1473.173
22,2022-09-21 19:30:00,1663781400000,19292.70,19400.00,19100.00,19111.00,1046.850
23,2022-09-21 19:45:00,1663782300000,19242.50,19548.80,19110.00,19548.80,1614.022
24,2022-09-21 20:00:00,1663783200000,19548.80,19578.70,19076.70,19261.40,3101.649
25,2022-09-21 20:15:00,1663784100000,19400.00,19490.00,19086.90,19210.30,1121.702
26,2022-09-21 20:30:00,1663785000000,19188.70,19548.80,19100.00,19546.20,2040.471
27,2022-09-21 20:45:00,1663785900000,19548.80,19648.80,19460.10,19608.80,1517.217
28,2022-09-21 21:00:00,1663786800000,19602.70,19648.80,19426.20,19507.30,1803.427
29,2022-09-21 21:15:00,1663787700000,19496.00,19519.70,19244.00,19273.20,3093.015
30,2022-09-21 21:30:00,1663788600000,19270.70,19433.70,19100.00,19177.50,1821.292
31,2022-09-21 21:45:00,1663789500000,19177.50,19432.20,19086.90,19135.20,1040.128
32,2022-09-21 22:00:00,1663790400000,19121.90,19444.60,19089.00,19180.00,1394.730
33,2022-09-21 22:15:00,1663791300000,19184.50,19548.80,19090.00,19400.00,1043.648
34,2022-09-21 22:30:00,1663792200000,19361.20,19561.60,19126.80,19404.90,876.371
35,2022-09-21 22:45:00,1663793100000,19483.50,19648.80,19210.70,19296.50,916.989
36,2022-09-21 23:00:00,1663794000000,19437.90,19693.40,18889.00,19157.00,1801.786
37,2022-09-21 23:15:00,1663794900000,19550.80,19640.00,19000.00,19000.00,1972.337
38,2022-09-21 23:30:00,1663795800000,19326.50,19433.30,18889.00,19300.00,1436.479
39,2022-09-21 23:45:00,1663796700000,19300.00,19300.00,18888.00,18960.80,1599.874
40,2022-09-22 00:00:00,1663797600000,18950.80,18961.00,18828.80,18888.00,2117.071
41,2022-09-22 00:15:00,1663798500000,18835.00,19299.00,18828.80,18880.00,2415.867
42,2022-09-22 00:30:00,1663799400000,18880.00,18880.00,18750.00,18880.00,955.945
43,2022-09-22 00:45:00,1663800300000,18880.00,19149.00,18702.60,18814.60,764.082
44,2022-09-22 01:00:00,1663801200000,18945.40,19149.00,18700.00,18961.40,953.411
45,2022-09-22 01:15:00,1663802100000,18963.30,19120.00,18680.80,18732.10,1999.829
46,2022-09-22 01:30:00,1663803000000,18732.10,19100.00,18666.00,19000.00,1151.778
47,2022-09-22 01:45:00,1663803900000,19000.00,19049.00,18666.00,18735.00,1041.357
48,2022-09-22 02:00:00,1663804800000,18961.40,19000.00,18700.00,19000.00,1256.362
49,2022-09-22 02:15:00,1663805700000,19000.00,19000.00,18650.00,18720.00,1051.029
50,2022-09-22 02:30:00,1663806600000,18827.90,18999.00,18600.00,18984.00,1192.891
51,2022-09-22 02:45:00,1663807500000,18811.40,18999.00,18555.60,18665.20,1196.114
52,2022-09-22 03:00:00,1663808400000,18790.90,18980.00,18564.20,18945.00,736.127
53,2022-09-22 03:15:00,1663809300000,18916.90,18979.00,18566.00,18700.40,873.291
54,2022-09-22 03:30:00,1663810200000,18885.60,18930.00,18561.00,18569.10,1165.795
55,2022-09-22 03:45:00,1663811100000,18601.40,18920.00,18561.00,18589.70,1095.569
56,2022-09-22 04:00:00,1663812000000,18626.80,18917.00,18555.50,18558.00,940.008
57,2022-09-22 04:15:00,1663812900000,18575.60,18917.00,18555.50,18575.00,1291.053
58,2022-09-22 04:30:00,1663813800000,18575.00,18917.00,18575.00,18602.60,825.838
59,2022-09-22 04:45:00,1663814700000,18602.60,18920.00,18585.00,18740.90,979.420
60,2022-09-22 05:00:00,1663815600000,18750.00,18930.00,18657.50,18680.20,1202.955
61,2022-09-22 05:15:00,1663816500000,18679.10,19119.00,18673.40,18772.90,1528.535
62,2022-09-22 05:30:00,1663817400000,18770.90,19119.00,18761.00,18834.90,921.678
63,2022-09-22 05:45:00,1663818300000,18825.00,19119.00,18825.00,18910.10,834.783
64,2022-09-22 06:00:00,1663819200000,18881.10,19119.00,18881.10,18918.00,655.730
65,2022-09-22 06:15:00,1663820100000,18885.00,19119.00,18794.00,18881.60,829.067
66,2022-09-22 06:30:00,1663821000000,18874.50,19119.00,18701.00,18701.00,1253.843
67,2022-09-22 06:45:00,1663821900000,18741.40,19119.00,18701.00,18785.90,1253.130
68,2022-09-22 07:00:00,1663822800000,18813.80,19119.00,18750.00,18832.00,995.805
69,2022-09-22 07:15:00,1663823700000,18832.00,19119.00,18750.00,18752.00,1082.992
70,2022-09-22 07:30:00,1663824600000,18785.50,19116.00,18751.00,18938.00,968.155
71,2022-09-22 07:45:00,1663825500000,18938.00,19116.00,18750.00,18900.50,1414.903
72,2022-09-22 08:00:00,1663826400000,18863.20,19090.00,18726.80,19000.00,830.023
73,2022-09-22 08:15:00,1663827300000,18832.00,19116.00,18769.00,19087.40,1196.600
74,2022-09-22 08:30:00,1663828200000,19067.30,19200.00,18864.80,18876.60,893.281
75,2022-09-22 08:45:00,1663829100000,18880.00,19199.00,18748.80,18827.80,1433.021
76,2022-09-22 09:00:00,1663830000000,18825.80,19449.90,18800.00,19009.50,1165.843
77,2022-09-22 09:15:00,1663830900000,19009.50,19440.00,18900.00,19032.50,897.510
78,2022-09-22 09:30:00,1663831800000,19032.50,19395.00,18955.40,18971.00,748.950
79,2022-09-22 09:45:00,1663832700000,19011.90,19380.00,18955.40,19006.90,1214.032
80,2022-09-22 10:00:00,1663833600000,19006.90,19379.90,18956.30,19261.40,632.576
81,2022-09-22 10:15:00,1663834500000,19104.90,19379.90,19000.00,19164.00,1051.096
82,2022-09-22 10:30:00,1663835400000,19125.70,19379.90,19094.10,19203.90,1738.848
83,2022-09-22 10:45:00,1663836300000,19203.90,19379.90,19174.90,19214.90,3033.394
84,2022-09-22 11:00:00,1663837200000,19210.80,19227.20,19120.00,19168.60,2200.807
85,2022-09-22 11:15:00,1663838100000,19168.60,19379.00,19130.00,19180.00,1968.222
86,2022-09-22 11:30:00,1663839000000,19180.00,19203.00,19121.00,19136.10,2085.835
87,2022-09-22 11:45:00,1663839900000,19132.10,19378.80,19132.10,19178.70,2862.063
88,2022-09-22 12:00:00,1663840800000,19182.00,19197.70,19133.20,19133.80,1232.356
89,2022-09-22 12:15:00,1663841700000,19138.40,19379.00,19129.20,19204.10,2256.741
90,2022-09-22 12:30:00,1663842600000,19192.90,19379.00,19121.00,19143.40,2317.734
91,2022-09-22 12:45:00,1663843500000,19147.10,19147.20,19120.00,19147.20,1665.649
92,2022-09-22 13:00:00,1663844400000,19135.10,19166.90,19055.00,19057.00,1404.576
93,2022-09-22 13:15:00,1663845300000,19067.20,19165.50,19048.90,19160.00,1079.086
94,2022-09-22 13:30:00,1663846200000,19160.00,19165.50,19040.50,19153.20,1590.658
95,2022-09-22 13:45:00,1663847100000,19153.20,19265.40,19132.90,19230.60,3462.748
96,2022-09-22 14:00:00,1663848000000,19229.50,19283.10,19091.50,19262.90,2412.069
97,2022-09-22 14:15:00,1663848900000,19263.60,19275.10,19195.20,19196.70,2256.354
98,2022-09-22 14:30:00,1663849800000,19199.00,19250.00,19091.50,19212.10,2308.007
99,2022-09-22 14:45:00,1663850700000,19212.10,19235.00,19152.30,19188.50,802.538
100,2022-09-22 15:00:00,1663851600000,19206.70,19235.00,19100.00,19157.70,1568.340
