Index,date,dateTime,open_Binance,high_Binance,low_Binance,close_Binance,volume_Binance,open_Bybit,high_Bybit,low_Bybit,close_Bybit,volume_Bybit,change_Binance,change_Bybit,arbitrage
0.0,2024-02-05 15:45:00,1707144300000.0,43296.77,43331.1,43150.91,43195.28,414.72862,43284.5,43322.4,43139.6,43184.9,419.276,-0.2344054764362283,-0.2301054650047905,0
1.0,2024-02-05 16:00:00,1707145200000.0,43195.28,43195.29,42989.07,43035.63,765.54895,43184.9,43184.9,42980.0,43025.0,512.418,-0.369623718146974,-0.37026831137735977,0
2.0,2024-02-05 16:15:00,1707146100000.0,43035.62,43040.01,42769.0,42856.42,863.19668,43025.0,43028.4,42797.9,42843.7,1054.094,-0.4163992525261733,-0.42138291690878077,0
3.0,2024-02-05 16:30:00,1707147000000.0,42856.42,42937.66,42711.53,42770.0,472.38381,42843.7,42922.7,42705.5,42757.7,8430.237,-0.20165006783114,-0.2007296288602525,0
4.0,2024-02-05 16:45:00,1707147900000.0,42770.0,42833.33,42600.11,42644.03,813.00123,42757.7,42810.4,42583.0,42634.9,19126.272,-0.29450549450549246,-0.2871997324458417,0
5.0,2024-02-05 17:00:00,1707148800000.0,42644.04,42726.35,42553.0,42661.23,825.97732,42634.9,42714.8,42555.5,42649.8,18935.501,0.040310439630021754,0.03494789479980358,0
6.0,2024-02-05 17:15:00,1707149700000.0,42661.23,42736.21,42501.0,42562.46,682.32403,42649.8,42721.4,42550.0,42550.0,10381.772,-0.2314982479408166,-0.2339987526319066,0
7.0,2024-02-05 17:30:00,1707150600000.0,42562.47,42638.22,42538.76,42581.11,402.59301,42550.0,42625.0,42550.0,42567.5,3257.803,0.04379445083896545,0.041128084606345476,0
8.0,2024-02-05 17:45:00,1707151500000.0,42581.11,42771.1,42577.13,42741.69,424.85915,42567.5,42764.7,42567.0,42732.5,514.356,0.37713906471671715,0.3876196628883538,0
9.0,2024-02-05 18:00:00,1707152400000.0,42741.7,42782.27,42669.99,42765.18,346.47574,42732.5,42762.1,42670.0,42756.1,306.965,0.054911245926112365,0.055227286023514996,0
10.0,2024-02-05 18:15:00,1707153300000.0,42765.17,42773.2,42660.0,42668.54,187.28133,42756.1,42764.7,42644.9,42663.7,204.563,-0.2259549067617348,-0.21610951419797753,0
11.0,2024-02-05 18:30:00,1707154200000.0,42668.54,42853.7,42668.53,42825.14,333.68326,42663.7,42818.9,42663.5,42815.8,233.019,0.3670151357416929,0.3565091635277902,0
12.0,2024-02-05 18:45:00,1707155100000.0,42825.14,42836.63,42702.68,42720.94,226.22808,42815.8,42824.8,42692.0,42710.1,213.17,-0.2433150247728252,-0.24687148202300171,0
