,date,dateTime,open,high,low,close,volume
0,2024-02-05 14:45:00,1707140700000,2331.42,2334.8,2331.42,2331.9,39851.75
1,2024-02-05 14:50:00,1707141000000,2331.9,2331.92,2328.8,2328.98,36068.48
2,2024-02-05 14:55:00,1707141300000,2328.98,2329.62,2328.24,2329.35,14971.82
3,2024-02-05 15:00:00,1707141600000,2329.35,2332.5,2329.35,2332.27,22546.48
4,2024-02-05 15:05:00,1707141900000,2332.27,2333.07,2331.44,2332.83,23380.92
5,2024-02-05 15:10:00,1707142200000,2332.83,2333.02,2326.17,2326.17,22304.15
6,2024-02-05 15:15:00,1707142500000,2326.17,2327.67,2326.17,2327.11,12312.94
7,2024-02-05 15:20:00,1707142800000,2327.11,2327.13,2322.39,2324.37,31158.67
8,2024-02-05 15:25:00,1707143100000,2324.37,2326.39,2324.09,2326.25,18069.32
9,2024-02-05 15:30:00,1707143400000,2326.25,2328.05,2323.3,2327.57,30374.32
10,2024-02-05 15:35:00,1707143700000,2327.57,2329.02,2322.27,2322.55,26897.97
11,2024-02-05 15:40:00,1707144000000,2322.55,2324.6,2320.98,2323.89,30023.23
12,2024-02-05 15:45:00,1707144300000,2323.89,2325.5,2322.71,2322.71,25002.52
13,2024-02-05 15:50:00,1707144600000,2322.71,2323.02,2317.53,2320.43,48662.82
14,2024-02-05 15:55:00,1707144900000,2320.43,2320.79,2316.96,2318.4,39717.16
15,2024-02-05 16:00:00,1707145200000,2318.4,2318.4,2310.9,2313.04,65931.14
16,2024-02-05 16:05:00,1707145500000,2313.04,2315.6,2312.51,2313.8,50677.98
17,2024-02-05 16:10:00,1707145800000,2313.8,2315.87,2310.9,2312.67,39083.8
18,2024-02-05 16:15:00,1707146100000,2312.67,2312.69,2306.44,2307.13,59084.96
19,2024-02-05 16:20:00,1707146400000,2307.13,2312.5,2306.23,2309.48,64937.56
20,2024-02-05 16:25:00,1707146700000,2309.48,2311.04,2308,2308.73,40831.79
21,2024-02-05 16:30:00,1707147000000,2308.73,2312.93,2308.1,2311.3,44541.96
22,2024-02-05 16:35:00,1707147300000,2311.3,2311.3,2309.17,2310.42,20163.68
23,2024-02-05 16:40:00,1707147600000,2310.42,2310.42,2302.35,2303.71,48974.03
24,2024-02-05 16:45:00,1707147900000,2303.71,2307.36,2299.13,2307.19,76923.42
25,2024-02-05 16:50:00,1707148200000,2307.19,2307.2,2299.98,2303.71,59020.98
26,2024-02-05 16:55:00,1707148500000,2303.71,2303.71,2294.21,2297.95,57138.96
27,2024-02-05 17:00:00,1707148800000,2297.95,2300.43,2293.71,2297.82,58235.06
28,2024-02-05 17:05:00,1707149100000,2297.82,2297.82,2292.07,2296.8,62765.58
29,2024-02-05 17:10:00,1707149400000,2296.8,2298.67,2292.4,2298.44,46349.09
30,2024-02-05 17:15:00,1707149700000,2298.44,2300.52,2297.34,2298.48,43158.37
31,2024-02-05 17:20:00,1707150000000,2298.48,2298.51,2294.33,2294.74,35051.8
32,2024-02-05 17:25:00,1707150300000,2294.74,2295.89,2290.67,2292.29,48004.61
33,2024-02-05 17:30:00,1707150600000,2292.29,2296.75,2292.27,2296.26,37397.32
34,2024-02-05 17:35:00,1707150900000,2296.26,2296.57,2293.79,2295.52,36612.53
35,2024-02-05 17:40:00,1707151200000,2295.52,2296.57,2294.05,2294.65,29209.74
36,2024-02-05 17:45:00,1707151500000,2294.65,2299,2294.15,2298.98,26864.34
37,2024-02-05 17:50:00,1707151800000,2298.98,2300.41,2297.27,2300.39,24113.16
38,2024-02-05 17:55:00,1707152100000,2300.39,2302.24,2298.84,2301.56,30353.53
39,2024-02-05 18:00:00,1707152400000,2301.56,2302.23,2298.88,2299.4,29974.73
40,2024-02-05 18:05:00,1707152700000,2299.4,2300.09,2298.75,2299.7,22937.62
41,2024-02-05 18:10:00,1707153000000,2299.7,2303,2299.45,2303,16707.33
42,2024-02-05 18:15:00,1707153300000,2303,2303.02,2298.26,2298.79,19681.07
43,2024-02-05 18:20:00,1707153600000,2298.79,2299.29,2297.42,2298.7,20227.7
44,2024-02-05 18:25:00,1707153900000,2298.7,2299.12,2298.1,2298.66,16334.66
45,2024-02-05 18:30:00,1707154200000,2298.66,2301.81,2298.66,2301.81,19820.15
46,2024-02-05 18:35:00,1707154500000,2301.81,2303.59,2301.81,2303.25,16693.71
47,2024-02-05 18:40:00,1707154800000,2303.25,2306.06,2303.23,2306.06,24440.07
48,2024-02-05 18:45:00,1707155100000,2306.06,2307.58,2303.61,2305.21,19794.75
49,2024-02-05 18:50:00,1707155400000,2305.21,2305.41,2301.09,2302.18,17856.73
50,2024-02-05 18:55:00,1707155700000,2302.18,2303.23,2301.73,2301.83,16696.79
51,2024-02-05 19:00:00,1707156000000,2301.83,2304.06,2301.83,2303.33,12033.99
52,2024-02-05 19:05:00,1707156300000,2303.33,2305.17,2299.5,2299.5,32999.03
53,2024-02-05 19:10:00,1707156600000,2299.5,2299.5,2297.8,2298.03,19835.04
54,2024-02-05 19:15:00,1707156900000,2298.03,2298.03,2295.17,2296.38,32308.28
55,2024-02-05 19:20:00,1707157200000,2296.38,2297.5,2295.67,2296,19074.27
56,2024-02-05 19:25:00,1707157500000,2296,2296.69,2295.7,2296.6,17521.02
57,2024-02-05 19:30:00,1707157800000,2296.6,2297,2295.11,2296.9,10513.2
58,2024-02-05 19:35:00,1707158100000,2296.9,2297.91,2295.23,2297.86,19461.69
59,2024-02-05 19:40:00,1707158400000,2297.86,2298.4,2297.5,2297.84,10504.23
60,2024-02-05 19:45:00,1707158700000,2297.84,2299.22,2297.4,2297.7,14784.11
61,2024-02-05 19:50:00,1707159000000,2297.7,2299.79,2297.38,2299.5,8555.86
62,2024-02-05 19:55:00,1707159300000,2299.5,2302.27,2299.21,2301.64,11659.81
63,2024-02-05 20:00:00,1707159600000,2301.64,2303.62,2300.67,2303.28,20189.8
64,2024-02-05 20:05:00,1707159900000,2303.28,2303.52,2302.9,2303.44,1563
65,2024-02-05 20:10:00,1707160200000,2303.44,2306.02,2303.44,2306,4667.38
66,2024-02-05 20:15:00,1707160500000,2306,2307.77,2305.98,2306.64,13952.69
67,2024-02-05 20:20:00,1707160800000,2306.64,2311.39,2306.64,2310.59,27870.78
68,2024-02-05 20:25:00,1707161100000,2310.59,2311,2307.8,2308.19,20944.47
69,2024-02-05 20:30:00,1707161400000,2308.19,2309.45,2307.88,2307.88,19363.22
70,2024-02-05 20:35:00,1707161700000,2307.88,2308.38,2305.7,2306.5,19758.98
71,2024-02-05 20:40:00,1707162000000,2306.5,2306.5,2303.94,2304.79,14737.67
72,2024-02-05 20:45:00,1707162300000,2304.79,2306.46,2304.04,2306.08,14351.1
73,2024-02-05 20:50:00,1707162600000,2306.08,2307.11,2304.92,2306,11629.77
