Index,date,dateTime,open_Binance,high_Binance,low_Binance,close_Binance,volume_Binance,open_Bybit,high_Bybit,low_Bybit,close_Bybit,volume_Bybit,change_Binance,change_Bybit,arbitrage
133,2022-09-22 23:15:00,1663881300000,19234.9,19275.2,19164.5,19196.1,1901.737,19272.0,19272.0,19171.5,19186.0,102.452,-0.2282309759863657,-0.4462432544624325,0
134,2022-09-22 23:30:00,1663882200000,19191.0,19231.9,19177.6,19190.0,1315.279,19186.0,19272.0,19050.0,19207.0,53.171,-0.02605387942264603,0.10945481079954132,0
135,2022-09-22 23:45:00,1663883100000,19186.0,19223.0,19145.6,19171.6,1610.232,19207.0,19272.0,19088.5,19192.5,9.099,-0.07505472740540736,-0.07549330973082731,0
136,2022-09-23 00:00:00,1663884000000,19171.6,19274.4,19171.6,19265.1,2029.807,19192.5,19272.0,18524.5,19232.5,809.066,0.510129566650686,0.20841474534323304,0
137,2022-09-23 00:15:00,1663884900000,19269.4,19400.0,19237.2,19373.1,2280.648,19232.5,19390.0,18644.0,19390.0,125.884,0.5412726914174768,0.8189262966333031,0
138,2022-09-23 00:30:00,1663885800000,19373.7,19400.0,19321.0,19321.0,1297.237,19390.0,19500.0,18720.0,19400.0,143.229,-0.14246117158829846,0.0515729757607014,0
139,2022-09-23 00:45:00,1663886700000,19346.1,19402.0,19320.1,19402.0,1102.97,19400.0,19468.0,18989.5,19389.0,29.893,0.24345992215486423,-0.05670103092783505,0
140,2022-09-23 01:00:00,1663887600000,19393.2,19480.0,19160.6,19480.0,1118.8,19389.0,19540.0,18785.0,19414.5,284.675,0.37126415444588823,0.13151787095775958,0
141,2022-09-23 01:15:00,1663888500000,19465.2,19473.2,19220.0,19393.4,1293.14,19414.5,19544.5,19337.0,19492.5,28.058,-0.37913815424449415,0.4017615699605965,0
142,2022-09-23 01:30:00,1663889400000,19391.4,19445.0,19220.0,19419.2,1115.993,19492.5,19500.0,19337.0,19420.5,19.618,0.1433625215301591,-0.3693728357060408,0
143,2022-09-23 01:45:00,1663890300000,19419.2,19442.4,19220.0,19386.0,1292.517,19420.5,19492.5,19077.5,19410.0,6.035,-0.17096481832413654,-0.054066579130300454,0
144,2022-09-23 02:00:00,1663891200000,19386.0,19480.0,19220.0,19373.4,2259.659,19410.0,19466.5,19311.5,19435.0,17.9,-0.06551119364490213,0.1287995878413189,0
145,2022-09-23 02:15:00,1663892100000,19373.3,19394.2,19157.5,19372.9,1047.882,19435.0,19477.0,18839.0,19384.5,71.69,-0.024260193152435196,-0.25984049395420633,0
146,2022-09-23 02:30:00,1663893000000,19368.6,19380.4,19100.0,19335.1,1140.909,19384.5,19485.5,18760.5,19361.5,101.099,-0.19154714331442926,-0.1186514999097217,0
147,2022-09-23 02:45:00,1663893900000,19331.5,19356.5,19100.0,19312.3,1137.77,19361.5,19435.5,19311.5,19353.5,8.665,-0.11328660476425242,-0.04131911267205537,0
148,2022-09-23 03:00:00,1663894800000,19309.6,19334.2,19100.0,19314.4,1248.045,19353.5,19445.5,18616.5,19320.0,61.386,-0.019679330488457932,-0.17309530575864832,0
149,2022-09-23 03:15:00,1663895700000,19305.8,19373.5,19286.3,19318.2,901.494,19320.0,19464.5,18555.0,19324.5,150.108,0.08753845994468737,0.023291925465838508,0
150,2022-09-23 03:30:00,1663896600000,19322.7,19342.3,19170.5,19300.5,2317.137,19324.5,19335.0,19193.0,19303.5,68.365,-0.12938150465514653,-0.10867034075913995,0
151,2022-09-23 03:45:00,1663897500000,19297.7,19362.1,19281.7,19362.1,1277.35,19303.5,19363.0,19266.0,19363.0,98.027,0.33371852604195223,0.30823425803610743,0
152,2022-09-23 04:00:00,1663898400000,19362.1,19362.1,19310.3,19333.7,1297.444,19363.0,19632.0,18816.0,18816.0,382.099,-0.14667830452274197,-2.8249754686773745,0
153,2022-09-23 04:15:00,1663899300000,19333.7,19336.2,19260.8,19279.4,1385.076,18816.0,19350.0,18816.0,19311.5,278.532,-0.28085674237212366,2.6333971088435373,0
154,2022-09-23 04:30:00,1663900200000,19279.4,19293.7,19232.1,19291.9,1499.31,19311.5,19311.5,18838.0,19311.5,5.188,0.06483604261543409,0.0,0
155,2022-09-23 04:45:00,1663901100000,19291.9,19332.2,19280.9,19295.3,1715.656,19311.5,19412.0,18900.0,19311.5,3002.036,0.03991312416090218,0.0,0
156,2022-09-23 05:00:00,1663902000000,19299.6,19400.0,19295.3,19395.0,1294.072,19311.5,19518.5,19045.0,19492.5,6288.284,0.49638334473254847,0.9372653600186418,0
157,2022-09-23 05:15:00,1663902900000,19395.4,19450.3,19374.4,19406.3,1661.341,19492.5,19504.0,19363.0,19432.5,112.018,0.0541365478412407,-0.30781069642170067,0
158,2022-09-23 05:30:00,1663903800000,19405.9,19450.3,19388.3,19403.5,1300.833,19432.5,19576.5,18909.5,19414.5,587.927,-0.004122457603115085,-0.09262832883056735,0
159,2022-09-23 05:45:00,1663904700000,19405.1,19423.8,19300.0,19379.1,1430.061,19414.5,19511.0,19040.5,19414.0,24.508,-0.10718831647350065,-0.002575394679234593,0
160,2022-09-23 06:00:00,1663905600000,19384.3,19450.3,19227.7,19383.6,1651.58,19414.0,19440.5,19088.0,19388.5,59.218,-0.003611169864275355,-0.13134851138353765,0
161,2022-09-23 06:15:00,1663906500000,19383.6,19431.3,19317.2,19423.8,1239.459,19388.5,19531.5,18924.0,19440.0,492.108,0.15992901215460495,0.2656213734945973,0
162,2022-09-23 06:30:00,1663907400000,19414.6,19450.3,19317.2,19422.5,1114.981,19440.0,19547.5,19337.5,19475.0,26.991,0.03811564492702119,0.1800411522633745,0
163,2022-09-23 06:45:00,1663908300000,19422.0,19480.0,19300.0,19421.3,1983.499,19475.0,19522.5,19389.0,19491.5,12.625,-0.003604160230670001,0.08472400513478819,0
164,2022-09-23 07:00:00,1663909200000,19421.3,19462.7,19369.3,19392.2,1392.323,19491.5,19500.0,18948.5,19278.5,13.469,-0.17352082507350552,-1.0927840340661314,0
165,2022-09-23 07:15:00,1663910100000,19387.6,19443.9,19370.5,19416.4,1733.481,19278.5,19500.0,19183.0,19466.0,87.937,0.14648538240938258,0.9725860414451332,0
166,2022-09-23 07:30:00,1663911000000,19416.0,19424.2,19266.5,19375.8,1344.05,19466.0,19500.0,19275.0,19453.0,16.337,-0.1962299134734165,-0.06678310901058256,0
167,2022-09-23 07:45:00,1663911900000,19377.9,19392.4,19261.3,19369.9,1722.208,19453.0,19500.0,19270.0,19440.5,49.741,-0.07173119894313344,-0.06425744101166915,0
168,2022-09-23 08:00:00,1663912800000,19364.0,19445.0,19348.5,19389.6,1399.295,19440.5,19464.5,18951.5,19414.5,32.905,0.13220409006402886,-0.13374141611584064,0
169,2022-09-23 08:15:00,1663913700000,19389.6,19405.1,19235.4,19333.7,1711.607,19414.5,19462.0,18816.0,19395.5,499.104,-0.2882988818748083,-0.09786499781091451,0
170,2022-09-23 08:30:00,1663914600000,19333.7,19450.0,19324.8,19325.4,1339.869,19395.5,19451.0,19300.0,19349.0,68.531,-0.028447736336035007,-0.23974633291227346,0
171,2022-09-23 08:45:00,1663915500000,19328.2,19366.4,19300.0,19343.4,2460.221,19349.0,19431.5,19300.0,19333.0,77.828,0.06881137405448656,-0.08269161196961083,0
172,2022-09-23 09:00:00,1663916400000,19341.5,19366.4,19222.6,19274.7,2652.219,19333.0,19370.5,19096.0,19269.0,198.568,-0.34588837473826467,-0.33104019034810944,0
173,2022-09-23 09:15:00,1663917300000,19274.6,19309.0,19274.0,19298.6,1913.735,19269.0,19348.5,19260.5,19337.0,42.454,0.11880921004846512,0.352898437905444,0
174,2022-09-23 09:30:00,1663918200000,19297.5,19300.7,19230.0,19230.0,2205.388,19337.0,19368.0,19000.0,19285.0,45.363,-0.33994040678843657,-0.26891451621244244,0
175,2022-09-23 09:45:00,1663919100000,19231.9,19263.9,19211.4,19217.5,1583.824,19285.0,19360.5,19000.0,19251.0,77.577,-0.04107758463803085,-0.17630282603059372,0
176,2022-09-23 10:00:00,1663920000000,19224.0,19300.0,19211.4,19239.3,1596.25,19251.0,19363.0,18942.5,19222.0,166.915,0.07958801498126962,-0.15064152511557843,0
177,2022-09-23 10:15:00,1663920900000,19239.3,19259.9,19150.0,19173.1,798.787,19222.0,19260.0,19028.5,19156.0,109.175,-0.3726746815112854,-0.34335657059619185,0
178,2022-09-23 10:30:00,1663921800000,19167.6,19296.4,19120.8,19296.4,1921.574,19156.0,19266.0,18865.0,19091.0,209.079,0.13877585091509728,-0.33931927333472545,0
